[INFO ] 2018-04-23 08:59:59,633 org.springframework.context.support.ClassPathXmlApplicationContext     - Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@4ec6a292: startup date [Mon Apr 23 08:59:59 CST 2018]; root of context hierarchy
 [INFO ] 2018-04-23 08:59:59,727 org.springframework.beans.factory.xml.XmlBeanDefinitionReader     - Loading XML bean definitions from file [E:\eclipse\workplace\e3-search\e3-search-service\target\classes\spring\applicationContext-activemq.xml]
 [INFO ] 2018-04-23 08:59:59,971 org.springframework.beans.factory.xml.XmlBeanDefinitionReader     - Loading XML bean definitions from file [E:\eclipse\workplace\e3-search\e3-search-service\target\classes\spring\applicationContext-dao.xml]
 [INFO ] 2018-04-23 09:00:00,091 org.springframework.beans.factory.xml.XmlBeanDefinitionReader     - Loading XML bean definitions from file [E:\eclipse\workplace\e3-search\e3-search-service\target\classes\spring\applicationContext-service.xml]
 [INFO ] 2018-04-23 09:00:00,358 com.alibaba.dubbo.common.logger.LoggerFactory     - using logger: com.alibaba.dubbo.common.logger.log4j.Log4jLoggerAdapter
 [INFO ] 2018-04-23 09:00:00,406 org.springframework.beans.factory.xml.XmlBeanDefinitionReader     - Loading XML bean definitions from file [E:\eclipse\workplace\e3-search\e3-search-service\target\classes\spring\applicationContext-solr.xml]
 [INFO ] 2018-04-23 09:00:00,813 org.springframework.context.support.PropertySourcesPlaceholderConfigurer     - Loading properties file from file [E:\eclipse\workplace\e3-search\e3-search-service\target\classes\conf\db.properties]
 [INFO ] 2018-04-23 09:00:00,814 org.springframework.context.support.PropertySourcesPlaceholderConfigurer     - Loading properties file from file [E:\eclipse\workplace\e3-search\e3-search-service\target\classes\conf\resource.properties]
 [INFO ] 2018-04-23 09:00:03,976 org.springframework.context.support.DefaultLifecycleProcessor     - Starting beans in phase 2147483647
 [INFO ] 2018-04-23 09:00:04,252 org.springframework.jms.connection.SingleConnectionFactory     - Established shared JMS Connection: ActiveMQConnection {id=ID:cxx-55342-1524445204115-1:1,clientId=null,started=false}
 [INFO ] 2018-04-23 09:00:04,390 com.alibaba.dubbo.config.AbstractConfig     -  [DUBBO] The service ready on spring started. service: cn.e3mall.search.service.SearchItemService, dubbo version: 2.5.3, current host: 127.0.0.1
 [INFO ] 2018-04-23 09:00:04,758 com.alibaba.dubbo.config.AbstractConfig     -  [DUBBO] Export dubbo service cn.e3mall.search.service.SearchItemService to local registry, dubbo version: 2.5.3, current host: 127.0.0.1
 [INFO ] 2018-04-23 09:00:04,758 com.alibaba.dubbo.config.AbstractConfig     -  [DUBBO] Export dubbo service cn.e3mall.search.service.SearchItemService to url dubbo://192.168.25.1:20882/cn.e3mall.search.service.SearchItemService?anyhost=true&application=e3-search&dubbo=2.5.3&interface=cn.e3mall.search.service.SearchItemService&methods=importAllItems&pid=12504&side=provider&timeout=600000&timestamp=1524445204484, dubbo version: 2.5.3, current host: 127.0.0.1
 [INFO ] 2018-04-23 09:00:04,758 com.alibaba.dubbo.config.AbstractConfig     -  [DUBBO] Register dubbo service cn.e3mall.search.service.SearchItemService url dubbo://192.168.25.1:20882/cn.e3mall.search.service.SearchItemService?anyhost=true&application=e3-search&dubbo=2.5.3&interface=cn.e3mall.search.service.SearchItemService&methods=importAllItems&pid=12504&side=provider&timeout=600000&timestamp=1524445204484 to registry registry://115.159.126.205:2181/com.alibaba.dubbo.registry.RegistryService?application=e3-search&dubbo=2.5.3&pid=12504&registry=zookeeper&timestamp=1524445204413, dubbo version: 2.5.3, current host: 127.0.0.1
 [INFO ] 2018-04-23 09:00:05,167 com.alibaba.dubbo.remoting.transport.AbstractServer     -  [DUBBO] Start NettyServer bind /0.0.0.0:20882, export /192.168.25.1:20882, dubbo version: 2.5.3, current host: 127.0.0.1
 [INFO ] 2018-04-23 09:00:05,209 com.alibaba.dubbo.registry.zookeeper.ZookeeperRegistry     -  [DUBBO] Load registry store file C:\Users\cxx\.dubbo\dubbo-registry-115.159.126.205.cache, data: {cn.e3mall.sso.service.TokenService=empty://192.168.25.1:20883/cn.e3mall.sso.service.TokenService?anyhost=true&application=e3-sso&category=configurators&check=false&dubbo=2.5.3&interface=cn.e3mall.sso.service.TokenService&methods=getUserByToken&pid=6064&side=provider&timeout=600000&timestamp=1524444958553, cn.e3mall.service.ItemService=empty://192.168.25.1:20880/cn.e3mall.service.ItemService?anyhost=true&application=e3-manager&category=configurators&check=false&dubbo=2.5.3&interface=cn.e3mall.service.ItemService&methods=reshelfItem,addItem,getItemList,delItem,instockItem,getItemById,updateItem,getItemDescById&pid=5644&side=provider&timeout=600000&timestamp=1524444987914, cn.e3mall.order.service.OrderService=empty://192.168.25.1:20885/cn.e3mall.order.service.OrderService?anyhost=true&application=e3-order&category=configurators&check=false&dubbo=2.5.3&interface=cn.e3mall.order.service.OrderService&methods=createOrder&pid=5756&side=provider&timeout=600000&timestamp=1524444840723, cn.e3mall.sso.service.RegisterService=empty://192.168.25.1:20883/cn.e3mall.sso.service.RegisterService?anyhost=true&application=e3-sso&category=configurators&check=false&dubbo=2.5.3&interface=cn.e3mall.sso.service.RegisterService&methods=checkData,register&pid=6064&side=provider&timeout=600000&timestamp=1524444958057, cn.e3mall.search.service.SearchItemService=empty://192.168.25.1:20882/cn.e3mall.search.service.SearchItemService?anyhost=true&application=e3-search&category=configurators&check=false&dubbo=2.5.3&interface=cn.e3mall.search.service.SearchItemService&methods=importAllItems&pid=1252&side=provider&timeout=600000&timestamp=1524382757783, cn.e3mall.content.service.ContentService=empty://192.168.25.1:20881/cn.e3mall.content.service.ContentService?anyhost=true&application=e3-content&category=configurators&check=false&dubbo=2.5.3&interface=cn.e3mall.content.service.ContentService&methods=delContent,getContentListByCid,getContentList,addContent,updateContent&pid=16748&side=provider&timeout=600000&timestamp=1524399224158, cn.e3mall.search.service.SearchService=empty://192.168.25.1/cn.e3mall.search.service.SearchService?application=e3-search-web&category=configurators&dubbo=2.5.3&interface=cn.e3mall.search.service.SearchService&methods=search&pid=13384&revision=0.0.1-SNAPSHOT&side=consumer&timestamp=1524445134210 empty://192.168.25.1/cn.e3mall.search.service.SearchService?application=e3-search-web&category=routers&dubbo=2.5.3&interface=cn.e3mall.search.service.SearchService&methods=search&pid=13384&revision=0.0.1-SNAPSHOT&side=consumer&timestamp=1524445134210 empty://192.168.25.1/cn.e3mall.search.service.SearchService?application=e3-search-web&category=providers&dubbo=2.5.3&interface=cn.e3mall.search.service.SearchService&methods=search&pid=13384&revision=0.0.1-SNAPSHOT&side=consumer&timestamp=1524445134210, cn.e3mall.content.service.ContentCategoryService=empty://192.168.25.1:20881/cn.e3mall.content.service.ContentCategoryService?anyhost=true&application=e3-content&category=configurators&check=false&dubbo=2.5.3&interface=cn.e3mall.content.service.ContentCategoryService&methods=addContentCategory,deleteContentCategory,updateContentCategory,getContentCatList&pid=16748&side=provider&timeout=600000&timestamp=1524399213243, cn.e3mall.sso.service.LoginService=empty://192.168.25.1:20883/cn.e3mall.sso.service.LoginService?anyhost=true&application=e3-sso&category=configurators&check=false&dubbo=2.5.3&interface=cn.e3mall.sso.service.LoginService&methods=userLogin&pid=6064&side=provider&timeout=600000&timestamp=1524444946883, cn.e3mall.cart.service.CartService=empty://192.168.25.1/cn.e3mall.cart.service.CartService?application=e3-order-web&category=configurators&dubbo=2.5.3&interface=cn.e3mall.cart.service.CartService&methods=addCart,mergeCart,updateCartNum,getCartList,clearCartItem,deleteCartItem&pid=11176&revision=0.0.1-SNAPSHOT&side=consumer&timestamp=1524444894021 empty://192.168.25.1/cn.e3mall.cart.service.CartService?application=e3-order-web&category=routers&dubbo=2.5.3&interface=cn.e3mall.cart.service.CartService&methods=addCart,mergeCart,updateCartNum,getCartList,clearCartItem,deleteCartItem&pid=11176&revision=0.0.1-SNAPSHOT&side=consumer&timestamp=1524444894021 empty://192.168.25.1/cn.e3mall.cart.service.CartService?application=e3-order-web&category=providers&dubbo=2.5.3&interface=cn.e3mall.cart.service.CartService&methods=addCart,mergeCart,updateCartNum,getCartList,clearCartItem,deleteCartItem&pid=11176&revision=0.0.1-SNAPSHOT&side=consumer&timestamp=1524444894021, cn.e3mall.service.ItemCatService=empty://192.168.25.1:20880/cn.e3mall.service.ItemCatService?anyhost=true&application=e3-manager&category=configurators&check=false&dubbo=2.5.3&interface=cn.e3mall.service.ItemCatService&methods=getItemCatlist&pid=5644&side=provider&timeout=600000&timestamp=1524444998481}, dubbo version: 2.5.3, current host: 127.0.0.1
 [INFO ] 2018-04-23 09:00:05,238     org.I0Itec.zkclient.ZkEventThread     - Starting ZkClient event thread.
 [INFO ] 2018-04-23 09:00:14,327        org.apache.zookeeper.ZooKeeper     - Client environment:zookeeper.version=3.4.7-1713338, built on 11/09/2015 04:32 GMT
 [INFO ] 2018-04-23 09:00:14,328        org.apache.zookeeper.ZooKeeper     - Client environment:host.name=cxx
 [INFO ] 2018-04-23 09:00:14,328        org.apache.zookeeper.ZooKeeper     - Client environment:java.version=1.8.0_151
